Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
D1,18/08/17,0,2,3,1,H,1.25,6,12,0,0,4
D1,19/08/17,15,8,1,0,H,2.1,3.4,3.6,1,1,1.74857142857143
D1,19/08/17,14,16,2,0,H,2,3.4,3.9,2,2,1.81643835616438
D1,19/08/17,9,10,1,0,H,1.75,4,4.33,3,3,2.07923169267707
D1,19/08/17,7,11,0,1,A,2,3.4,4,4,4,1.83783783783784
D1,19/08/17,6,4,2,0,H,2.8,3.4,2.5,5,5,s
D1,19/08/17,3,1,0,3,A,3.8,4,1.85,6,6,1.26495726495727
D1,20/08/17,13,12,0,0,D,2.45,3.25,3,7,7,1.56
D1,20/08/17,5,17,1,0,H,1.91,3.5,4.1,8,8,1.88815789473684
D1,25/08/17,17,15,1,3,A,1.95,3.4,4,9,9,1.83783783783784
D1,26/08/17,8,5,2,2,D,3.25,3.4,2.25,10,10,1.35398230088496
D1,26/08/17,1,14,2,0,H,1.36,5,7.5,11,11,3
D1,26/08/17,12,3,0,1,A,2.3,3.25,3.3,12,12,1.63740458015267
D1,26/08/17,2,9,2,2,D,2.05,3.6,3.6,13,13,1.8
D1,26/08/17,16,7,1,0,H,2.3,3.4,3.1,14,14,1.62153846153846
D1,26/08/17,10,0,0,2,A,11,6.5,1.25,15,15,1.04838709677419
D1,27/08/17,11,6,1,0,H,3.3,3.4,2.2,16,16,1.33571428571429
D1,27/08/17,4,13,4,1,H,1.36,5,8.5,17,17,3.14814814814815
D1,08/09/17,15,4,0,2,A,4,3.6,1.91,18,18,1.24791288566243
D1,09/09/17,8,17,3,0,H,2.38,3.3,3.1,19,19,1.5984375
D1,09/09/17,13,1,0,0,D,7.5,5,1.4,20,20,1.09375
D1,09/09/17,9,0,2,0,H,7,4.5,1.45,21,21,1.09663865546218
D1,09/09/17,7,2,3,1,H,3,3.4,2.38,22,22,1.4
D1,09/09/17,5,12,0,1,A,1.83,3.6,4.5,23,23,2
D1,09/09/17,3,11,1,1,D,1.83,3.6,4.5,24,24,2
D1,10/09/17,14,10,1,1,D,1.91,3.6,4,25,25,1.89473684210526
D1,10/09/17,6,16,3,1,H,1.7,3.75,5,26,26,2.14285714285714
D1,15/09/17,11,15,2,0,H,1.95,3.5,4,27,27,1.86666666666667
D1,16/09/17,0,7,4,0,H,1.13,10,19,28,28,6.55172413793104
D1,16/09/17,12,8,1,2,A,1.85,3.5,4.5,29,29,1.96875
D1,16/09/17,4,5,2,2,D,1.67,3.8,5.5,30,30,2.24731182795699
D1,16/09/17,16,3,1,0,H,2.3,3.5,3,31,31,1.61538461538462
D1,16/09/17,10,6,1,2,A,2.8,3.5,2.5,32,32,1.45833333333333
D1,17/09/17,1,17,5,0,H,1.22,6,13,33,33,4.10526315789474
D1,17/09/17,9,14,1,1,D,1.67,3.8,5.5,34,34,2.24731182795699
D1,17/09/17,2,13,4,0,H,1.45,4.5,7,35,35,2.73913043478261
D1,19/09/17,8,4,1,0,H,3.5,3.5,2.1,36,36,1.3125
D1,19/09/17,5,16,2,0,H,1.7,3.8,5,37,37,2.15909090909091
D1,19/09/17,6,0,0,3,A,7,4.75,1.44,38,38,1.10500807754443
D1,19/09/17,3,10,1,1,D,2.05,3.5,3.6,39,39,1.77464788732394
D1,20/09/17,17,12,0,1,A,2.88,3.1,2.63,40,40,1.42286212914485
D1,20/09/17,13,11,1,1,D,2.8,3.25,2.6,41,41,1.44444444444444
D1,20/09/17,15,1,0,3,A,7,4.75,1.44,42,42,1.10500807754443
D1,20/09/17,14,2,2,1,H,3.3,3.4,2.2,43,43,1.33571428571429
D1,20/09/17,7,9,2,3,A,2.7,3.4,2.6,44,44,1.47333333333333
D1,22/09/17,0,3,2,2,D,1.14,8.5,19,45,45,5.87272727272727
D1,23/09/17,1,5,6,1,H,1.44,4.75,7,46,46,2.82978723404255
D1,23/09/17,9,6,2,0,H,2.2,3.5,3.25,47,47,1.68518518518519
D1,23/09/17,7,14,1,0,H,2.2,3.3,3.4,48,48,1.67462686567164
D1,23/09/17,4,12,2,1,H,1.7,3.8,5,49,49,2.15909090909091
D1,23/09/17,16,8,0,0,D,2.1,3.4,3.6,50,50,1.74857142857143
D1,23/09/17,10,13,0,0,D,1.7,4,4.75,51,51,2.17142857142857
D1,24/09/17,11,17,0,0,D,1.95,3.6,3.8,52,52,1.84864864864865
D1,24/09/17,2,15,3,0,H,1.36,5,8.5,53,53,3.14814814814815
D1,29/09/17,6,2,1,1,D,2.3,3.4,3.1,54,54,1.62153846153846
D1,30/09/17,8,1,1,2,A,7.5,4.5,1.44,55,55,1.09090909090909
D1,30/09/17,12,16,2,1,H,1.95,3.5,4,56,56,1.86666666666667
D1,30/09/17,15,10,0,0,D,2.7,3.2,2.75,57,57,1.47899159663866
D1,30/09/17,5,11,2,1,H,1.73,3.6,5.25,58,58,2.13559322033898
D1,30/09/17,3,7,1,1,D,2.1,3.4,3.6,59,59,1.74857142857143
D1,01/10/17,17,4,1,2,A,3.8,3.5,2,60,60,1.27272727272727
D1,01/10/17,13,9,3,2,H,3.6,3.5,2.05,61,61,1.29279279279279
D1,01/10/17,14,0,2,2,D,8.5,5,1.36,62,62,1.06918238993711
D1,13/10/17,16,17,2,1,H,1.83,3.6,4.33,63,63,1.9656998738966
