Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,24/08/2018,0,9,3,1,H,1.2,7.5,12,0,0,4.74423529411765,
D1,25/08/2018,15,8,1,2,A,2.37,3.25,3,1,1,1.51512274959083,
D1,25/08/2018,13,12,0,2,A,2.3,3.3,3.25,2,2,1.59042386185243,
D1,25/08/2018,14,17,1,0,H,2.04,3.4,3.75,3,3,2.13243764172336,
D1,25/08/2018,5,2,2,0,H,2.8,3.5,2.45,4,4,1.55758998435055,
D1,25/08/2018,10,11,1,1,D,1.85,3.6,4,5,5,2.2229932735426,
D1,25/08/2018,3,6,2,1,H,3.1,3.3,2.37,6,6,1.39718309859155,
D1,26/08/2018,1,4,4,1,H,1.72,3.8,4.75,7,7,2.20773648648649,
D1,26/08/2018,7,16,1,0,H,2.7,3.25,2.7,8,8,1.45962774957699,
D1,31/08/2018,11,1,0,0,D,5.5,4.33,1.57,9,9,1.19671232876712,
D1,01/09/2018,8,5,1,1,D,2.62,3.4,2.7,10,10,1.54385964912281,
D1,01/09/2018,12,10,1,2,A,2.4,3.5,2.9,11,11,1.63047256097561,
D1,01/09/2018,9,13,3,1,H,1.55,4,6.5,12,12,2.70723860589812,
D1,01/09/2018,2,3,1,3,A,1.61,4.33,5,13,13,2.34159836065574,
D1,01/09/2018,17,7,1,1,D,2.37,3.3,3.1,14,14,1.51830342577488,
D1,01/09/2018,16,0,0,3,A,11,5.5,1.28,15,15,1.06359183673469,
D1,02/09/2018,4,15,1,1,D,1.4,4.75,8,16,16,3.56697704918033,
D1,02/09/2018,6,14,0,2,A,1.75,3.6,5,17,17,2.29746192893401,
D1,14/09/2018,1,12,3,1,H,1.4,5,7.5,18,18,2.82133219470538,
D1,15/09/2018,0,2,3,1,H,1.2,7,13,19,19,5.62492824928249,
D1,15/09/2018,15,9,2,1,H,4,3.6,1.9,20,20,1.26307178631052,
D1,15/09/2018,7,8,2,1,H,2.54,3.25,2.87,21,21,1.50006557377049,
D1,15/09/2018,5,6,2,1,H,2.37,3.4,3,22,22,1.47207920792079,
D1,15/09/2018,4,11,3,2,H,1.53,4.33,5.5,23,23,2.7206033717835,
D1,15/09/2018,3,14,2,2,D,2.1,3.25,3.75,24,24,1.75181818181818,
D1,16/09/2018,13,16,3,3,D,2.62,3.25,2.75,25,25,1.48904841402337,
D1,16/09/2018,10,17,1,1,D,1.66,4,5,26,26,2.45284715284715,
D1,21/09/2018,16,15,0,0,D,1.72,3.6,5.25,27,27,2.22346916299559,
D1,22/09/2018,8,10,2,3,A,2.5,3.25,2.9,28,28,1.46495840266223,
D1,22/09/2018,14,5,4,2,H,2.37,3.3,3.1,29,29,1.46195286195286,
D1,22/09/2018,9,1,1,1,D,2.62,3.75,2.4,30,30,1.55784711388456,
D1,22/09/2018,17,11,2,0,H,2.5,3.25,2.9,31,31,1.57974882260597,
D1,22/09/2018,6,0,0,2,A,8,4.5,1.4,32,32,1.08902694610778,
