,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
0,F1,10/08/2018,Marseille,Toulouse,4,0,H,1.4,4.5,8,0,0,2.88,0
1,F1,11/08/2018,Angers,Nimes,3,4,A,2.3,3.2,3.3,0,0,1.62461538461538,0
2,F1,11/08/2018,Lille,Rennes,3,1,H,2.5,3.1,3.1,0,0,1.55,0
3,F1,11/08/2018,Montpellier,Dijon,1,2,A,1.72,3.5,5.5,0,0,2.13888888888889,0
4,F1,11/08/2018,Nantes,Monaco,1,3,A,3.2,3.25,2.3,0,0,1.34684684684685,0
5,F1,11/08/2018,Nice,Reims,0,1,A,1.85,3.5,4.5,0,0,1.96875,0
6,F1,11/08/2018,St Etienne,Guingamp,2,1,H,1.8,3.5,4.75,0,0,2.01515151515152,0
7,F1,12/08/2018,Bordeaux,Strasbourg,0,2,A,1.7,3.6,5,0,0,2.09302325581395,0
8,F1,12/08/2018,Lyon,Amiens,2,0,H,1.2,7,13,0,0,4.55,0
9,F1,12/08/2018,Paris SG,Caen,3,0,H,1.08,12,23,0,0,7.88571428571429,0
10,F1,17/08/2018,Reims,Lyon,1,0,H,4.75,4,1.7,0,0,1.19298245614035,0
11,F1,18/08/2018,Amiens,Montpellier,1,2,A,3.2,3,2.5,0,0,1.36363636363636,0
12,F1,18/08/2018,Caen,Nice,1,1,D,2.75,3.1,2.75,0,0,1.45726495726496,0
13,F1,18/08/2018,Dijon,Nantes,2,0,H,2.6,3.25,2.8,0,0,1.50413223140496,0
14,F1,18/08/2018,Guingamp,Paris SG,1,3,A,13,7,1.2,0,0,1.02439024390244,0
15,F1,18/08/2018,Monaco,Lille,0,0,D,1.5,4.33,6.5,0,0,2.59879963065559,0
16,F1,18/08/2018,Rennes,Angers,1,0,H,1.9,3.3,4.5,0,0,1.90384615384615,0
17,F1,19/08/2018,Nimes,Marseille,3,1,H,4.75,3.8,1.72,0,0,1.18405797101449,0
18,F1,19/08/2018,Strasbourg,St Etienne,1,1,D,2.6,3.2,2.8,0,0,1.49333333333333,0
19,F1,19/08/2018,Toulouse,Bordeaux,2,1,H,2.6,3.1,2.9,0,0,1.49833333333333,0
20,F1,24/08/2018,Lyon,Strasbourg,2,0,H,1.28,5.75,11,2,2,3.77611940298507,0
21,F1,25/08/2018,Amiens,Reims,4,1,H,2.6,3.25,2.8,1,1,1.50413223140496,0
22,F1,25/08/2018,Montpellier,St Etienne,0,0,D,2.4,3.1,3.2,1,1,1.57460317460317,0
23,F1,25/08/2018,Nantes,Caen,1,1,D,1.95,3.25,4.33,1,0,1.85653034300792,1
24,F1,25/08/2018,Nice,Dijon,0,4,A,1.9,3.4,4.33,0,2,1.90452781371281,-2
25,F1,25/08/2018,Paris SG,Angers,3,1,H,1.07,13,26,3,0,8.66666666666667,3
26,F1,25/08/2018,Toulouse,Nimes,1,0,H,2.3,3.2,3.3,2,4,1.62461538461538,-2
27,F1,26/08/2018,Bordeaux,Monaco,2,1,H,3.1,3.3,2.37,0,3,1.37936507936508,-3
28,F1,26/08/2018,Lille,Guingamp,3,0,H,2,3.4,3.9,3,1,1.81643835616438,2
29,F1,26/08/2018,Marseille,Rennes,2,2,D,1.5,4.33,6.5,4,1,2.59879963065559,3
30,F1,31/08/2018,Lyon,Nice,0,1,A,1.33,5.25,9.5,4,1,3.38135593220339,3
31,F1,01/09/2018,Angers,Lille,1,0,H,2.45,3.25,3,3,0,1.56,3
32,F1,01/09/2018,Dijon,Caen,0,2,A,1.9,3.4,4.33,2,1,1.90452781371281,1
33,F1,01/09/2018,Guingamp,Toulouse,1,2,A,2.04,3.4,3.75,1,0,1.78321678321678,1
34,F1,01/09/2018,Nimes,Paris SG,2,4,A,11,7,1.22,3,3,1.03892944038929,0
35,F1,01/09/2018,Reims,Montpellier,0,1,A,2.6,3.1,2.9,1,2,1.49833333333333,-1
36,F1,01/09/2018,Strasbourg,Nantes,2,3,A,2.3,3.1,3.4,1,0,1.62153846153846,1
37,F1,02/09/2018,Monaco,Marseille,2,3,A,2.8,3.3,2.54,0,1,1.43527397260274,-1
38,F1,02/09/2018,Rennes,Bordeaux,2,0,H,2.1,3.3,3.75,1,1,1.75531914893617,0
39,F1,02/09/2018,St Etienne,Amiens,0,0,D,1.61,3.75,6,2,0,2.30769230769231,2
40,F1,14/09/2018,Nice,Rennes,2,1,H,2.5,3.25,2.8,0,3,1.50413223140496,-3
41,F1,14/09/2018,Paris SG,St Etienne,4,0,H,1.25,6,11,6,1,3.88235294117647,5
42,F1,15/09/2018,Amiens,Lille,2,3,A,3.4,3.1,2.3,5,0,1.32037037037037,5
43,F1,15/09/2018,Caen,Lyon,2,2,D,5.5,3.75,1.64,1,0,1.14100185528757,1
44,F1,15/09/2018,Dijon,Angers,1,3,A,2.14,3.4,3.4,2,1,1.7,1
45,F1,15/09/2018,Montpellier,Strasbourg,1,1,D,1.95,3.4,4.2,1,2,1.87894736842105,-1
46,F1,15/09/2018,Toulouse,Monaco,1,1,D,3,3.3,2.4,3,4,1.38947368421053,-1
47,F1,16/09/2018,Bordeaux,Nimes,3,3,D,1.83,3.4,4.5,2,4,1.93670886075949,-2
48,F1,16/09/2018,Marseille,Guingamp,4,0,H,1.28,5.75,10,6,1,3.65079365079365,5
49,F1,16/09/2018,Nantes,Reims,0,0,D,1.9,3.25,4.33,2,2,1.85653034300792,0
50,F1,21/09/2018,Monaco,Nimes,1,1,D,1.75,4,4.33,2,7,2.07923169267707,-5
51,F1,22/09/2018,Angers,Toulouse,0,0,D,2.14,3.2,3.6,4,2,1.69411764705882,2
52,F1,22/09/2018,Lille,Nantes,2,1,H,1.85,3.5,4.5,6,3,1.96875,3
53,F1,22/09/2018,Montpellier,Nice,1,0,H,2.2,3,3.75,2,2,1.66666666666667,0
54,F1,22/09/2018,Reims,Dijon,0,0,D,2.04,3.3,3.8,1,6,1.76619718309859,-5
55,F1,22/09/2018,St Etienne,Caen,2,1,H,1.64,3.5,6.5,2,3,2.275,-1
56,F1,22/09/2018,Strasbourg,Amiens,3,1,H,1.8,3.3,5.25,3,0,2.02631578947368,3
57,F1,23/09/2018,Guingamp,Bordeaux,1,3,A,2.25,3.1,3.5,2,1,1.64393939393939,1
58,F1,23/09/2018,Lyon,Marseille,4,2,H,1.95,3.5,3.8,4,4,1.82191780821918,0
59,F1,23/09/2018,Rennes,Paris SG,1,3,A,7.5,4.5,1.4,3,7,1.06779661016949,-4
60,F1,25/09/2018,Monaco,Angers,0,1,A,1.75,3.8,4.75,3,4,2.11111111111111,-1
61,F1,25/09/2018,Nantes,Nice,1,2,A,2.4,3.2,3.1,2,2,1.57460317460317,0
62,F1,25/09/2018,Toulouse,St Etienne,2,3,A,2.6,3,3,4,1,1.5,3
63,F1,26/09/2018,Amiens,Rennes,2,1,H,3.25,3.1,2.4,7,4,1.35272727272727,3
64,F1,26/09/2018,Bordeaux,Lille,1,0,H,2.45,3.2,3,5,3,1.54838709677419,2
65,F1,26/09/2018,Caen,Montpellier,2,2,D,3,3,2.6,3,3,1.39285714285714,0
66,F1,26/09/2018,Dijon,Lyon,0,3,A,5.75,4.2,1.57,3,2,1.14280762564991,1
67,F1,26/09/2018,Marseille,Strasbourg,3,2,H,1.44,4.5,7.5,10,3,2.8125,7
68,F1,26/09/2018,Nimes,Guingamp,0,0,D,1.95,3.6,3.8,5,1,1.84864864864865,4
69,F1,26/09/2018,Paris SG,Reims,4,1,H,1.12,9,21,10,2,6.3,8
70,F1,28/09/2018,St Etienne,Monaco,2,0,H,1.95,3.4,4,4,5,1.83783783783784,-1
71,F1,29/09/2018,Angers,Guingamp,0,1,A,2.14,3.2,3.7,4,1,1.71594202898551,3
72,F1,29/09/2018,Caen,Amiens,1,0,H,2.14,3.25,3.6,5,1,1.70802919708029,4
73,F1,29/09/2018,Lyon,Nantes,1,1,D,1.3,5.75,9.5,8,4,3.58196721311475,4
74,F1,29/09/2018,Nice,Paris SG,0,3,A,7.5,5.5,1.36,2,10,1.09037900874636,-8
75,F1,29/09/2018,Reims,Bordeaux,0,0,D,2.3,3.25,3.25,1,4,1.625,-3
76,F1,29/09/2018,Strasbourg,Dijon,3,0,H,1.95,3.5,4,6,6,1.86666666666667,0
