Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,17/08/2018,9,14,0,3,A,1.66,4,5,,,2.22222222222222
SP1,17/08/2018,18,15,0,0,D,1.75,3.6,5,,,2.09302325581395
SP1,18/08/2018,0,10,3,0,H,1.11,10,21,,,6.7741935483871
SP1,18/08/2018,16,6,1,1,D,1.85,3.5,4.5,,,1.96875
SP1,18/08/2018,13,8,1,2,A,2.04,3.4,3.8,,,1.79444444444444
SP1,19/08/2018,11,19,1,2,A,1.66,3.75,5.5,,,2.22972972972973
SP1,19/08/2018,1,4,2,0,H,1.2,7,13,,,4.55
SP1,19/08/2018,17,5,1,4,A,3.25,3.6,2.14,,,1.34216027874564
SP1,20/08/2018,7,12,2,1,H,1.75,3.3,5.5,,,2.0625
SP1,20/08/2018,3,2,1,1,D,3,3.2,2.5,,,1.40350877192982
SP1,24/08/2018,4,11,2,0,H,1.95,3.2,4.33,,,1.84010624169987
SP1,24/08/2018,12,8,2,2,D,3.5,3.3,2.1,,,1.28333333333333
SP1,25/08/2018,10,9,0,0,D,2.8,3.25,2.6,,,1.44444444444444
SP1,25/08/2018,2,17,1,0,H,1.16,7,21,,,5.25
SP1,25/08/2018,15,0,0,1,A,17,7.5,1.16,,,1.00461893764434
SP1,26/08/2018,6,3,2,0,H,3.25,3.2,2.37,,,1.36157989228007
SP1,26/08/2018,18,1,1,4,A,8,5.5,1.36,,,1.09037900874636
SP1,26/08/2018,5,13,0,0,D,1.72,4.2,4.33,,,2.13200468933177
SP1,27/08/2018,7,19,2,2,D,1.61,3.6,6.5,,,2.31683168316832
SP1,27/08/2018,14,16,1,2,A,2.4,3.25,3,,,1.56
SP1,31/08/2018,11,8,2,1,H,2.75,3.25,2.62,,,1.45059625212947
SP1,31/08/2018,4,15,0,0,D,1.9,3.2,4.75,,,1.91194968553459
SP1,31/08/2018,13,18,0,1,A,1.57,4,6,,,2.4
SP1,01/09/2018,16,2,2,0,H,5.5,3.4,1.75,,,1.15533980582524
SP1,01/09/2018,1,12,4,1,H,1.12,9,21,,,6.3
SP1,02/09/2018,10,6,2,1,H,2.9,3.1,2.54,,,1.39609929078014
SP1,02/09/2018,0,19,8,2,H,1.08,11,29,,,7.975
SP1,02/09/2018,9,5,1,0,H,2.8,3.5,2.45,,,1.44117647058824
SP1,02/09/2018,14,3,2,2,D,3.75,3.4,2,,,1.25925925925926
SP1,14/09/2018,19,17,0,1,A,2.14,3.5,3.4,,,1.72463768115942
SP1,15/09/2018,7,1,1,1,D,6,4.33,1.53,,,1.13052901023891
SP1,15/09/2018,2,11,1,1,D,1.36,4.33,12,,,3.18187385180649
SP1,15/09/2018,8,0,1,2,A,7,5.25,1.4,,,1.10526315789474
SP1,15/09/2018,3,9,0,0,D,1.75,3.75,4.75,,,2.09558823529412
SP1,16/09/2018,6,14,1,0,H,1.72,3.6,5.25,,,2.13559322033898
SP1,16/09/2018,12,13,0,1,A,3,3.1,2.54,,,1.39609929078014
SP1,16/09/2018,5,4,0,2,A,1.55,4,7,,,2.54545454545455
SP1,16/09/2018,15,10,0,1,A,2.2,3.1,3.6,,,1.66567164179104
SP1,17/09/2018,18,16,3,2,H,2.4,3.3,3,,,1.57142857142857
SP1,21/09/2018,19,8,0,1,A,3.6,3.4,2.1,,,1.29818181818182
SP1,22/09/2018,16,15,3,3,D,1.75,3.5,5.25,,,2.1
SP1,22/09/2018,11,12,1,0,H,2.04,3.2,4,,,1.77777777777778
SP1,22/09/2018,4,2,0,2,A,5,3.3,1.8,,,1.16470588235294
SP1,22/09/2018,1,6,1,0,H,1.18,7,15,,,4.77272727272727
SP1,22/09/2018,17,10,1,5,A,2.04,3.4,3.6,,,1.74857142857143
SP1,23/09/2018,0,18,2,2,D,1.08,11,21,,,7.21875
SP1,23/09/2018,9,7,2,2,D,2.14,3.3,3.6,,,1.72173913043478
SP1,23/09/2018,14,5,2,6,A,3.5,3.6,2.04,,,1.30212765957447
SP1,23/09/2018,13,3,0,0,D,2.25,3.25,3.3,,,1.63740458015267
SP1,25/09/2018,2,19,3,0,H,1.22,6,15,,,4.28571428571429
SP1,25/09/2018,6,11,1,0,H,1.9,3.3,4.5,,,1.90384615384615
SP1,25/09/2018,8,17,2,2,D,1.61,4,5.5,,,2.31578947368421
SP1,26/09/2018,7,13,0,3,A,2.25,3.3,3.3,,,1.65
SP1,26/09/2018,12,0,2,1,H,12,6,1.25,,,1.03448275862069
