Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,10/08/2018,Man United,Leicester,2,1,H,1.57,3.9,7.5,33,27,2.56578947368421,6
E0,11/08/2018,Bournemouth,Cardiff,2,0,H,1.9,3.6,4.5,30,13,2,17
E0,11/08/2018,Fulham,Crystal Palace,0,2,A,2.5,3.4,3,22,32,1.59375,-10
E0,11/08/2018,Huddersfield,Chelsea,0,3,A,6.5,4,1.61,10,24,1.14795008912656,-14
E0,11/08/2018,Newcastle,Tottenham,1,2,A,3.9,3.5,2.04,24,33,1.28880866425993,-9
E0,11/08/2018,Watford,Brighton,2,0,H,2.37,3.2,3.4,26,16,1.64848484848485,10
E0,11/08/2018,Wolves,Everton,2,2,D,2.37,3.3,3.3,28,24,1.65,4
E0,12/08/2018,Arsenal,Man City,0,2,A,4,3.8,1.95,42,38,1.28869565217391,4
E0,12/08/2018,Liverpool,West Ham,4,0,H,1.25,6.5,14,55,20,4.4390243902439,35
E0,12/08/2018,Southampton,Burnley,0,0,D,1.85,3.5,5,27,21,2.05882352941176,6
E0,18/08/2018,Cardiff,Newcastle,0,0,D,3.25,3.1,2.54,21,18,1.39609929078014,3
E0,18/08/2018,Chelsea,Arsenal,3,2,H,1.8,4,4.5,39,31,2.11764705882353,8
E0,18/08/2018,Everton,Southampton,2,1,H,1.9,3.5,4.75,30,18,2.01515151515152,12
E0,18/08/2018,Leicester,Wolves,2,0,H,2.04,3.5,3.9,24,19,1.84459459459459,5
E0,18/08/2018,Tottenham,Fulham,3,1,H,1.28,6,12,34,12,4,22
E0,18/08/2018,West Ham,Bournemouth,1,2,A,2.1,3.6,3.7,32,26,1.82465753424658,6
E0,19/08/2018,Brighton,Man United,3,2,H,5.5,3.6,1.75,19,32,1.17757009345794,-13
E0,19/08/2018,Burnley,Watford,1,3,A,2.45,3.1,3.4,24,26,1.62153846153846,-2
E0,19/08/2018,Man City,Huddersfield,6,1,H,1.1,13,26,57,12,8.66666666666667,45
E0,20/08/2018,Crystal Palace,Liverpool,0,2,A,7,5,1.44,19,34,1.11801242236025,-15
E0,25/08/2018,Arsenal,West Ham,3,1,H,1.36,5.5,9,42,20,3.41379310344828,22
E0,25/08/2018,Bournemouth,Everton,2,2,D,2.62,3.6,2.75,30,24,1.55905511811024,6
E0,25/08/2018,Huddersfield,Cardiff,0,0,D,2.37,3,3.7,10,13,1.65671641791045,-3
E0,25/08/2018,Liverpool,Brighton,1,0,H,1.16,8.5,19,55,16,5.87272727272727,39
E0,25/08/2018,Southampton,Leicester,1,2,A,2.45,3.2,3.25,27,27,1.61240310077519,0
E0,25/08/2018,Wolves,Man City,1,1,D,11,6.5,1.28,28,38,1.0694087403599,-10
E0,26/08/2018,Fulham,Burnley,4,2,H,2,3.4,4.33,22,21,1.90452781371281,1
E0,26/08/2018,Newcastle,Chelsea,1,2,A,5.75,4,1.66,24,24,1.17314487632509,0
E0,26/08/2018,Watford,Crystal Palace,2,1,H,2.6,3.25,3,26,32,1.56,-6
E0,27/08/2018,Man United,Tottenham,0,3,A,2.62,3.3,2.9,33,33,1.54354838709677,0
E0,01/09/2018,Brighton,Fulham,2,2,D,2.3,3.4,3.4,19,12,1.7,7
