,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
18,D1,05/02/16,M'gladbach,Werder Bremen,5,1,1,1.7,4,4.5,19,15,2.11764705882353,4,
19,D1,06/02/16,Ein Frankfurt,Stuttgart,2,4,-1,2.7,3.6,2.5,15,15,1.47540983606557,0,
20,D1,06/02/16,Hannover,Mainz,0,1,-1,2.75,3.3,2.6,11,12,1.45423728813559,-1,
21,D1,06/02/16,Hertha,Dortmund,0,0,-1,6.5,4.33,1.5,14,22,1.11406518010292,-8,
22,D1,06/02/16,Ingolstadt,Augsburg,2,1,1,2.5,3.1,3.1,7,12,1.55,-5,
23,D1,06/02/16,Leverkusen,Bayern Munich,0,0,-1,5.25,4.2,1.6,18,16,1.15862068965517,2,
24,D1,06/02/16,Schalke 04,Wolfsburg,3,0,1,2.45,3.5,2.8,14,6,1.55555555555556,8,
25,D1,07/02/16,Hamburg,FC Koln,1,1,-1,2.5,3.2,3,9,12,1.54838709677419,-3,
26,D1,07/02/16,Hoffenheim,Darmstadt,0,2,-1,2,3.3,4,10,12,1.80821917808219,-2,
27,D1,12/02/16,Mainz,Schalke 04,2,1,1,2.9,3.4,2.45,12,12,1.42393162393162,0,
28,D1,13/02/16,Darmstadt,Leverkusen,1,2,-1,4.75,3.75,1.75,7,11,1.19318181818182,-4,
29,D1,13/02/16,Dortmund,Hannover,1,0,1,1.14,8.5,17,30,8,5.66666666666667,22,
30,D1,13/02/16,FC Koln,Ein Frankfurt,3,1,1,1.91,3.8,3.8,8,9,1.9,-1,
31,D1,13/02/16,Stuttgart,Hertha,2,0,1,2.1,3.5,3.5,12,15,1.75,-3,
32,D1,13/02/16,Werder Bremen,Hoffenheim,1,1,-1,2.2,3.5,3.25,8,8,1.68518518518519,0,
33,D1,13/02/16,Wolfsburg,Ingolstadt,2,0,1,1.73,3.6,5.25,23,5,2.13559322033898,18,
34,D1,14/02/16,Augsburg,Bayern Munich,1,3,-1,13,6,1.22,9,16,1.01385041551247,-7,
35,D1,14/02/16,Hamburg,M'gladbach,3,2,1,3.3,3.6,2.1,10,16,1.32631578947368,-6,
36,D1,19/02/16,Ein Frankfurt,Hamburg,0,0,-1,2.25,3.5,3,17,12,1.61538461538462,5,
37,D1,20/02/16,Bayern Munich,Darmstadt,3,1,1,1.08,12,26,34,14,8.21052631578947,20,
38,D1,20/02/16,Hertha,Wolfsburg,1,1,-1,2.75,3.3,2.6,14,6,1.45423728813559,8,
39,D1,20/02/16,Hoffenheim,Mainz,3,2,1,2.4,3.4,2.9,10,13,1.56507936507937,-3,
40,D1,20/02/16,Ingolstadt,Werder Bremen,2,0,1,2.1,3.3,3.6,9,16,1.72173913043478,-7,
41,D1,20/02/16,M'gladbach,FC Koln,1,0,1,1.91,3.6,4,24,13,1.89473684210526,11,
42,D1,21/02/16,Hannover,Augsburg,0,1,-1,2.63,3.3,2.75,11,13,1.5,-2,
43,D1,21/02/16,Leverkusen,Dortmund,0,1,-1,3.4,3.5,2.1,18,22,1.3125,-4,
44,D1,21/02/16,Schalke 04,Stuttgart,1,1,-1,2.15,3.75,3.1,17,19,1.6970802919708,-2,
45,D1,26/02/16,FC Koln,Hertha,0,1,-1,2.1,3.3,3.75,11,15,1.75531914893617,-4,
46,D1,27/02/16,Hamburg,Ingolstadt,1,1,-1,2.4,3,3.3,13,5,1.57142857142857,8,
47,D1,27/02/16,Stuttgart,Hannover,1,2,-1,1.53,4,6.5,14,8,2.47619047619048,6,
48,D1,27/02/16,Werder Bremen,Darmstadt,2,2,-1,2.1,3.4,3.6,9,15,1.74857142857143,-6,
49,D1,27/02/16,Wolfsburg,Bayern Munich,0,2,-1,9,4.5,1.4,25,19,1.06779661016949,6,
50,D1,28/02/16,Augsburg,M'gladbach,2,2,-1,2.7,3.4,2.6,10,18,1.47333333333333,-8,
51,D1,28/02/16,Dortmund,Hoffenheim,3,1,1,1.18,7,17,31,9,4.95833333333333,22,
52,D1,28/02/16,Ein Frankfurt,Schalke 04,0,0,-1,3.2,3.4,2.25,17,13,1.35398230088496,4,
53,D1,28/02/16,Mainz,Leverkusen,3,1,1,3.75,3.5,2,14,13,1.27272727272727,1,
54,D1,01/03/16,Hannover,Wolfsburg,0,4,-1,4.2,3.75,1.85,11,7,1.23883928571429,4,
55,D1,01/03/16,Ingolstadt,FC Koln,1,1,-1,2.5,3.1,3,11,13,1.52459016393443,-2,
56,D1,02/03/16,Bayern Munich,Mainz,1,2,-1,1.13,9,21,37,15,6.3,22,
57,D1,02/03/16,Darmstadt,Dortmund,0,2,-1,8,4.75,1.4,8,23,1.08130081300813,-15,
58,D1,02/03/16,Hertha,Ein Frankfurt,2,0,1,1.85,3.6,4.33,15,10,1.9656998738966,5,
59,D1,02/03/16,Hoffenheim,Augsburg,2,1,1,2.25,3.4,3.3,13,14,1.67462686567164,-1,
60,D1,02/03/16,Leverkusen,Werder Bremen,1,4,-1,1.44,4.75,7,18,16,2.82978723404255,2,
61,D1,02/03/16,M'gladbach,Stuttgart,4,0,1,2.05,3.8,3.4,25,20,1.79444444444444,5,
62,D1,02/03/16,Schalke 04,Hamburg,3,2,1,1.85,3.6,4.33,18,12,1.9656998738966,6,
63,D1,05/03/16,Augsburg,Leverkusen,3,3,-1,2.9,3.3,2.5,12,14,1.42241379310345,-2,
64,D1,05/03/16,Dortmund,Bayern Munich,0,0,-1,3.1,3.4,2.3,34,21,1.3719298245614,13,
65,D1,05/03/16,Ein Frankfurt,Ingolstadt,1,1,-1,2.5,3.2,3,17,6,1.54838709677419,11,
66,D1,05/03/16,FC Koln,Schalke 04,1,3,-1,2.4,3.2,3.1,11,13,1.57460317460317,-2,
67,D1,05/03/16,Stuttgart,Hoffenheim,5,1,1,1.91,3.6,4,15,10,1.89473684210526,5,
68,D1,05/03/16,Werder Bremen,Hannover,4,1,1,1.73,3.8,4.75,11,10,2.11111111111111,1,
69,D1,05/03/16,Wolfsburg,M'gladbach,2,1,1,1.95,3.75,3.6,25,20,1.83673469387755,5,
70,D1,06/03/16,Hamburg,Hertha,2,0,1,2.88,3.1,2.63,14,16,1.42286212914485,-2,
71,D1,06/03/16,Mainz,Darmstadt,0,0,-1,1.75,3.6,5,17,17,2.09302325581395,0,
