,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
0,Brazil,2019,9/1/2019,Internacional,Botafogo RJ,3,2,1,1.55,4.03,6.89,14,7,2.5427380952381,7
1,Brazil,2019,9/1/2019,Flamengo RJ,Palmeiras,3,0,1,2.23,3.17,3.68,22,9,1.70300729927007,13
2,Brazil,2019,9/1/2019,Fortaleza,Goias,2,0,1,1.87,3.41,4.82,8,5,1.99710814094775,3
3,Brazil,2019,9/1/2019,Corinthians,Atletico-MG,1,0,1,2.22,2.9,4.17,9,7,1.71046676096181,2
4,Brazil,2019,9/1/2019,Cruzeiro,Vasco,1,0,1,1.78,3.53,5.24,6,5,2.10914481185861,1
5,Brazil,2019,9/3/2019,Fluminense,Avai,0,1,-1,1.54,3.94,7.24,8,3,2.55148479427549,5
6,Brazil,2019,9/7/2019,Corinthians,Ceara,2,2,-1,1.69,3.45,6.34,10,4,2.23421859039837,6
7,Brazil,2019,9/7/2019,Vasco,Bahia,0,2,-1,2.24,3.08,3.79,11,6,1.6991557496361,5
8,Brazil,2019,9/7/2019,Avai,Flamengo RJ,0,3,-1,8.98,4.43,1.42,5,13,1.07531623931624,-8
9,Brazil,2019,9/7/2019,Fortaleza,Fluminense,0,1,-1,2.28,3.24,3.47,10,11,1.67552906110283,-1
10,Brazil,2019,9/7/2019,Internacional,Sao Paulo,1,0,1,2.55,3.02,3.22,17,7,1.55839743589744,10
11,Brazil,2019,9/8/2019,Goias,Palmeiras,1,2,-1,5.91,3.56,1.7,11,9,1.15057034220532,2
12,Brazil,2019,9/8/2019,Cruzeiro,Gremio,1,4,-1,2.66,3,3.08,7,5,1.51973684210526,2
13,Brazil,2019,9/8/2019,Botafogo RJ,Atletico-MG,2,1,1,3.38,3.44,2.23,7,7,1.35294532627866,0
14,Brazil,2019,9/8/2019,Santos,Athletico-PR,1,1,-1,1.5,4.39,6.95,21,13,2.69052028218695,8
15,Brazil,2019,9/8/2019,CSA,Chapecoense-SC,2,0,1,2.59,2.98,3.2,4,8,1.54304207119741,-4
16,Brazil,2019,9/11/2019,Palmeiras,Fluminense,3,0,1,1.32,5.11,11.4,15,12,3.52840702604482,3
17,Brazil,2019,9/14/2019,Flamengo RJ,Santos,1,0,1,1.58,4.04,6.25,25,8,2.45383867832847,17
18,Brazil,2019,9/14/2019,Chapecoense-SC,Vasco,1,2,-1,2.83,2.97,2.9,8,5,1.46729131175468,3
19,Brazil,2019,9/14/2019,Palmeiras,Cruzeiro,1,0,1,1.31,5.48,10.55,18,8,3.60661260137243,10
20,Brazil,2019,9/15/2019,Ceara,Botafogo RJ,0,0,-1,1.69,3.7,5.7,15,9,2.2436170212766,6
21,Brazil,2019,9/15/2019,Athletico-PR,Avai,0,1,-1,1.79,3.46,5.26,11,4,2.08711009174312,7
