,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
161,F1,08/12/2018,Rennes,Dijon,2,0,1,1.57,3.8,6.5,7,10,2.39805825242718,-3,7
162,F1,09/12/2018,Lille,Reims,1,1,-1,1.8,3.4,5,17,5,2.02380952380952,12,12
163,F1,09/12/2018,Strasbourg,Caen,2,2,-1,1.75,3.5,5.25,13,5,2.1,8,9
164,F1,15/12/2018,Reims,Strasbourg,2,1,1,2.25,3.1,3.5,5,12,1.64393939393939,-7,-3
165,F1,16/12/2018,Lyon,Monaco,3,0,1,1.44,4.75,7,13,9,2.82978723404255,4,9.5
166,F1,16/12/2018,Nice,St Etienne,1,1,-1,2.25,3.1,3.5,5,8,1.64393939393939,-3,0
167,F1,16/12/2018,Nimes,Lille,2,3,-1,2.5,3,3.2,9,7,1.54838709677419,2,-3.5
168,F1,18/12/2018,Caen,Toulouse,2,1,1,2.5,3.1,3.1,8,5,1.55,3,0.5
169,F1,22/12/2018,Angers,Marseille,1,1,-1,3.75,3.4,2.04,9,12,1.275,-3,-2.5
170,F1,22/12/2018,Lille,Toulouse,1,2,-1,1.72,3.5,5.5,18,6,2.13888888888889,12,13.5
171,F1,22/12/2018,Monaco,Guingamp,0,2,-1,1.9,3.5,4.33,7,4,1.93550446998723,3,3.5
172,F1,22/12/2018,Montpellier,Lyon,1,1,-1,3.3,3.3,2.25,13,13,1.33783783783784,0,-0.5
173,F1,22/12/2018,Paris SG,Nantes,1,0,1,1.14,9,15,27,8,5.625,19,25
174,F1,22/12/2018,Reims,Caen,2,2,-1,1.8,3.5,4.75,7,7,2.01515151515152,0,4
175,F1,22/12/2018,Rennes,Nimes,4,0,1,1.83,3.5,4.5,9,15,1.96875,-6,7
176,F1,22/12/2018,St Etienne,Dijon,3,0,1,1.53,4.33,6,16,10,2.51500484027106,6,7
177,F1,22/12/2018,Strasbourg,Nice,2,0,1,2.37,3.2,3.1,15,7,1.57460317460317,8,10
178,F1,23/12/2018,Bordeaux,Amiens,1,1,-1,1.61,3.75,6,14,4,2.30769230769231,10,6.5
179,F1,08/01/2019,Amiens,Angers,0,0,-1,3.2,3,2.4,12,10,1.33333333333333,2,0
180,F1,08/01/2019,Nantes,Montpellier,2,0,1,2.6,3.1,2.9,16,11,1.49833333333333,5,6.5
181,F1,11/01/2019,Caen,Lille,1,3,-1,3.8,3.25,2.1,10,10,1.27570093457944,0,-5
182,F1,11/01/2019,Lyon,Reims,1,1,-1,1.45,4.5,7.5,16,6,2.8125,10,10
183,F1,12/01/2019,Amiens,Paris SG,0,3,-1,17,7.5,1.16,12,22,1.00461893764434,-10,-11
184,F1,12/01/2019,Guingamp,St Etienne,0,1,-1,2.87,3.2,2.5,8,9,1.40350877192982,-1,-13
185,F1,12/01/2019,Nice,Bordeaux,1,0,1,2.2,3.2,3.6,6,5,1.69411764705882,1,4.5
186,F1,13/01/2019,Dijon,Montpellier,1,1,-1,3.25,3.3,2.3,6,11,1.35535714285714,-5,-2
187,F1,13/01/2019,Marseille,Monaco,1,1,-1,1.57,4,6,17,9,2.4,8,6
188,F1,13/01/2019,Nantes,Rennes,0,1,-1,2.55,3.3,2.8,18,14,1.51475409836066,4,3.5
189,F1,13/01/2019,Toulouse,Strasbourg,1,2,-1,2.5,3.2,3,9,13,1.54838709677419,-4,-3.5
190,F1,15/01/2019,Angers,Bordeaux,1,2,-1,2.5,3,3,10,5,1.5,5,7
191,F1,16/01/2019,Guingamp,Rennes,2,1,1,2.87,3.2,2.55,8,15,1.41913043478261,-7,-6
192,F1,16/01/2019,Monaco,Nice,1,1,-1,2.3,3.2,3.3,7,7,1.62461538461538,0,4
193,F1,16/01/2019,Nimes,Nantes,1,0,1,2.37,3.25,3.1,11,8,1.58661417322835,3,3
194,F1,16/01/2019,St Etienne,Marseille,2,1,1,2.25,3.5,3.1,19,13,1.64393939393939,6,-5
195,F1,16/01/2019,Toulouse,Lyon,2,2,-1,5.25,3.75,1.66,10,14,1.15064695009242,-4,-6
196,F1,18/01/2019,Lille,Amiens,2,1,1,1.65,3.6,5.75,19,5,2.21390374331551,14,15.5
197,F1,19/01/2019,Monaco,Strasbourg,1,5,-1,1.9,3.5,4,8,15,1.86666666666667,-7,-4
198,F1,19/01/2019,Nimes,Toulouse,0,1,-1,1.95,3.6,3.8,12,8,1.84864864864865,4,2
199,F1,19/01/2019,Paris SG,Guingamp,9,0,1,1.1,10,26,28,6,7.22222222222222,22,25.5
200,F1,19/01/2019,Reims,Nice,1,1,-1,2.25,3,3.7,9,8,1.65671641791045,1,5
