,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
0,F1,10/08/2018,Marseille,Toulouse,4,0,1,1.4,4.5,8.0,31,15,2.88,16,8.0
1,F1,11/08/2018,Angers,Nimes,3,4,-1,2.3,3.2,3.3,24,15,1.62461538461538,9,4.5
2,F1,11/08/2018,Lille,Rennes,3,1,1,2.5,3.1,3.1,42,28,1.55,14,7.0
3,F1,11/08/2018,Montpellier,Dijon,1,2,-1,1.72,3.5,5.5,31,13,2.1388888888888897,18,9.0
4,F1,11/08/2018,Nantes,Monaco,1,3,-1,3.2,3.25,2.3,35,19,1.3468468468468502,16,8.0
5,F1,11/08/2018,Nice,Reims,0,1,-1,1.85,3.5,4.5,19,18,1.96875,1,0.5
6,F1,11/08/2018,St Etienne,Guingamp,2,1,1,1.8,3.5,4.75,19,12,2.01515151515152,7,3.5
7,F1,12/08/2018,Bordeaux,Strasbourg,0,2,-1,1.7,3.6,5.0,24,27,2.09302325581395,-3,-1.5
8,F1,12/08/2018,Lyon,Amiens,2,0,1,1.2,7.0,13.0,38,11,4.55,27,13.5
9,F1,12/08/2018,Paris SG,Caen,3,0,1,1.08,12.0,23.0,63,13,7.885714285714291,50,25.0
10,F1,17/08/2018,Reims,Lyon,1,0,1,4.75,4.0,1.7,21,32,1.1929824561403501,-11,-5.5
11,F1,18/08/2018,Amiens,Montpellier,1,2,-1,3.2,3.0,2.5,20,22,1.3636363636363602,-2,-1.0
12,F1,18/08/2018,Caen,Nice,1,1,-1,2.75,3.1,2.75,16,11,1.4572649572649599,5,2.5
13,F1,18/08/2018,Dijon,Nantes,2,0,1,2.6,3.25,2.8,18,13,1.5041322314049599,5,2.5
14,F1,18/08/2018,Guingamp,Paris SG,1,3,-1,13.0,7.0,1.2,16,42,1.02439024390244,-26,-13.0
15,F1,18/08/2018,Monaco,Lille,0,0,-1,1.5,4.33,6.5,19,26,2.5987996306555896,-7,-3.5
16,F1,18/08/2018,Rennes,Angers,1,0,1,1.9,3.3,4.5,27,20,1.90384615384615,7,3.5
17,F1,19/08/2018,Nimes,Marseille,3,1,1,4.75,3.8,1.72,27,29,1.18405797101449,-2,-1.0
18,F1,19/08/2018,Strasbourg,St Etienne,1,1,-1,2.6,3.2,2.8,31,29,1.49333333333333,2,1.0
19,F1,19/08/2018,Toulouse,Bordeaux,2,1,1,2.6,3.1,2.9,20,10,1.4983333333333302,10,5.0
20,F1,24/08/2018,Lyon,Strasbourg,2,0,1,1.28,5.75,11.0,38,27,3.7761194029850698,11,5.5
21,F1,25/08/2018,Amiens,Reims,4,1,1,2.6,3.25,2.8,20,18,1.5041322314049599,2,1.0
22,F1,25/08/2018,Montpellier,St Etienne,0,0,-1,2.4,3.1,3.2,31,18,1.57460317460317,13,6.5
23,F1,25/08/2018,Nantes,Caen,1,1,-1,1.95,3.25,4.33,35,13,1.8565303430079199,22,11.0
24,F1,25/08/2018,Nice,Dijon,0,4,-1,1.9,3.4,4.33,19,13,1.9045278137128099,6,3.0
25,F1,25/08/2018,Paris SG,Angers,3,1,1,1.07,13.0,26.0,63,20,8.66666666666667,43,21.5
