,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
0,D1,14/08/15,Bayern Munich,Hamburg,5,0,1,1.08,11,29,0,0,7.975,0,
1,D1,15/08/15,Augsburg,Hertha,0,1,-1,2,3.4,3.9,0,0,1.81643835616438,0,
2,D1,15/08/15,Darmstadt,Hannover,2,2,-1,2.5,3.3,2.9,0,0,1.54354838709677,0,
3,D1,15/08/15,Dortmund,M'gladbach,4,0,1,1.73,3.75,5,0,0,2.14285714285714,0,
4,D1,15/08/15,Leverkusen,Hoffenheim,2,1,1,1.5,4.33,6.5,0,0,2.59879963065559,0,
5,D1,15/08/15,Mainz,Ingolstadt,0,1,-1,2.05,3.4,3.75,0,0,1.78321678321678,0,
6,D1,15/08/15,Werder Bremen,Schalke 04,0,3,-1,3,3.4,2.38,0,0,1.4,0,
7,D1,16/08/15,Stuttgart,FC Koln,1,3,-1,2.05,3.3,3.8,0,0,1.76619718309859,0,
8,D1,16/08/15,Wolfsburg,Ein Frankfurt,2,1,1,1.44,4.75,7,0,0,2.82978723404255,0,
9,D1,21/08/15,Hertha,Werder Bremen,1,1,-1,2.05,3.5,3.6,0,0,1.77464788732394,0,
10,D1,22/08/15,Ein Frankfurt,Augsburg,1,1,-1,2.25,3.4,3.25,0,0,1.66165413533835,0,
11,D1,22/08/15,FC Koln,Wolfsburg,1,1,-1,4.2,3.8,1.83,0,0,1.23516873889876,0,
12,D1,22/08/15,Hamburg,Stuttgart,3,2,1,2.88,3.5,2.4,0,0,1.42372881355932,0,
13,D1,22/08/15,Hannover,Leverkusen,0,1,-1,4.2,3.75,1.83,0,0,1.22983870967742,0,
14,D1,22/08/15,Hoffenheim,Bayern Munich,1,2,-1,9.5,6,1.25,0,0,1.03448275862069,0,
15,D1,22/08/15,Schalke 04,Darmstadt,1,1,-1,1.44,4.5,7.5,0,0,2.8125,0,
16,D1,23/08/15,Ingolstadt,Dortmund,0,4,-1,7,4.5,1.45,0,0,1.09663865546218,0,
17,D1,23/08/15,M'gladbach,Mainz,1,2,-1,1.67,4,5,0,0,2.22222222222222,0,
