,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
0,Brazil,2019,4/27/2019,Sao Paulo,Botafogo RJ,2,0,1,1.78,3.39,5.61,0,0,2.1131,0
1,Brazil,2019,4/27/2019,Atletico-MG,Avai,2,1,1,1.56,4.09,6.46,0,0,2.5043981042654,0
2,Brazil,2019,4/27/2019,Chapecoense-SC,Internacional,2,0,1,3.02,3.03,2.71,0,0,1.43054006968641,0
3,Brazil,2019,4/28/2019,Flamengo RJ,Cruzeiro,3,1,1,2.32,3.2,3.47,0,0,1.6647676161918998,0
4,Brazil,2019,4/28/2019,Gremio,Santos,1,2,-1,1.71,3.58,5.78,0,0,2.2107264957265,0
5,Brazil,2019,4/28/2019,Athletico-PR,Vasco,4,1,1,1.48,4.1,8.19,0,0,2.73222131814483,0
6,Brazil,2019,4/28/2019,Bahia,Corinthians,3,2,1,2.28,3.14,3.63,0,0,1.6836336779911398,0
7,Brazil,2019,4/28/2019,Ceara,CSA,4,0,1,1.88,3.41,4.81,0,0,1.9953892944038898,0
8,Brazil,2019,4/28/2019,Fluminense,Goias,0,1,-1,1.77,3.68,5.02,0,0,2.12340229885057,0
9,Brazil,2019,4/28/2019,Palmeiras,Fortaleza,4,0,1,1.36,4.98,9.4,0,0,3.25535465924896,0
10,Brazil,2019,5/1/2019,Corinthians,Chapecoense-SC,1,0,1,1.66,3.3,7.5,0,0,2.2916666666666696,0
11,Brazil,2019,5/1/2019,CSA,Palmeiras,1,1,-1,7.04,3.93,1.56,0,0,1.1167213114754098,0
12,Brazil,2019,5/1/2019,Internacional,Flamengo RJ,2,1,1,2.44,3.1,3.34,0,0,1.60776397515528,0
13,Brazil,2019,5/1/2019,Avai,Gremio,1,1,-1,3.88,3.16,2.18,0,0,1.29003745318352,0
14,Brazil,2019,5/1/2019,Cruzeiro,Ceara,1,0,1,1.52,3.71,8.93,0,0,2.62106803797468,0
15,Brazil,2019,5/2/2019,Fortaleza,Athletico-PR,2,1,1,3.6,3.27,2.23,0,0,1.3258363636363601,0
16,Brazil,2019,5/2/2019,Goias,Sao Paulo,1,2,-1,3.1,3.04,2.63,0,0,1.41008818342152,0
17,Brazil,2019,5/2/2019,Vasco,Atletico-MG,1,2,-1,3.27,3.3,2.37,0,0,1.37936507936508,0
18,Brazil,2019,5/2/2019,Santos,Fluminense,2,1,1,1.65,3.73,6.13,0,0,2.31895537525355,0
19,Brazil,2019,5/3/2019,Botafogo RJ,Bahia,3,2,1,2.36,3.06,3.57,0,0,1.64769230769231,0
20,Brazil,2019,5/4/2019,Palmeiras,Internacional,1,0,1,1.61,3.81,6.5,4,0,2.4020368574199797,4
21,Brazil,2019,5/4/2019,Vasco,Corinthians,1,1,-1,3.26,3.16,2.46,1,2,1.38320284697509,-1
22,Brazil,2019,5/5/2019,Ceara,Atletico-MG,1,2,-1,2.42,3.18,3.29,4,2,1.61703245749614,2
23,Brazil,2019,5/5/2019,Chapecoense-SC,Athletico-PR,1,1,-1,2.64,2.99,3.15,2,1,1.53395765472313,1
24,Brazil,2019,5/5/2019,Botafogo RJ,Fortaleza,1,0,1,1.72,4.0,4.87,3,0,2.19616685456595,3
25,Brazil,2019,5/5/2019,Cruzeiro,Goias,2,1,1,1.4,4.54,9.35,1,1,3.05608351331893,0
26,Brazil,2019,5/5/2019,CSA,Santos,0,0,-1,4.84,3.49,1.85,1,2,1.20908239700375,-1
27,Brazil,2019,5/5/2019,Sao Paulo,Flamengo RJ,1,1,-1,2.06,3.31,4.07,2,1,1.82543360433604,1
28,Brazil,2019,5/5/2019,Bahia,Avai,1,0,1,1.62,3.91,6.1,3,1,2.38271728271728,2
29,Brazil,2019,5/5/2019,Gremio,Fluminense,4,5,-1,1.51,4.14,7.47,1,1,2.66372093023256,0
30,Brazil,2019,5/11/2019,Fluminense,Botafogo RJ,0,1,-1,2.1,3.3,3.95,0,0,1.7979310344827601,0
31,Brazil,2019,5/11/2019,Corinthians,Gremio,0,0,-1,3.0,2.98,2.76,1,1,1.4328919860627198,0
32,Brazil,2019,5/12/2019,Goias,Ceara,2,1,1,2.16,3.18,3.93,1,0,1.75772151898734,1
33,Brazil,2019,5/12/2019,Flamengo RJ,Chapecoense-SC,2,1,1,1.43,4.39,8.7,3,0,2.9177234530175697,3
34,Brazil,2019,5/12/2019,Atletico-MG,Palmeiras,0,2,-1,3.37,2.96,2.52,2,1,1.36116788321168,1
35,Brazil,2019,5/12/2019,Internacional,Cruzeiro,3,1,1,2.1,3.11,4.26,2,1,1.7976390773405702,1
36,Brazil,2019,5/12/2019,Santos,Vasco,3,0,1,1.4,4.71,8.56,2,1,3.0382516955538796,1
37,Brazil,2019,5/12/2019,Athletico-PR,Bahia,1,0,1,1.85,3.49,4.79,4,2,2.0189734299516897,2
38,Brazil,2019,5/12/2019,Avai,CSA,0,0,-1,1.7,3.67,5.62,1,0,2.22017222820237,1
39,Brazil,2019,5/12/2019,Fortaleza,Sao Paulo,0,1,-1,2.97,3.0,2.77,2,2,1.44020797227036,0
40,Brazil,2019,5/18/2019,Fluminense,Cruzeiro,4,1,1,2.65,3.04,3.08,0,2,1.52993464052288,-2
41,Brazil,2019,5/18/2019,Atletico-MG,Flamengo RJ,2,1,1,2.88,3.21,2.68,2,2,1.46057724957555,0
42,Brazil,2019,5/18/2019,Palmeiras,Santos,4,0,1,1.68,3.75,5.76,5,2,2.27129337539432,3
43,Brazil,2019,5/19/2019,Sao Paulo,Bahia,0,0,-1,1.83,3.41,5.1,3,2,2.04359576968273,1
44,Brazil,2019,5/19/2019,Athletico-PR,Corinthians,0,2,-1,2.25,3.1,3.76,5,3,1.69912536443149,2
45,Brazil,2019,5/19/2019,Chapecoense-SC,Fortaleza,1,3,-1,2.41,3.01,3.52,3,0,1.6225421133231201,3
46,Brazil,2019,5/19/2019,Goias,Botafogo RJ,1,0,1,2.26,3.2,3.61,3,1,1.69632892804699,2
47,Brazil,2019,5/19/2019,Internacional,CSA,2,0,1,1.22,6.05,17.04,5,0,4.46478995236033,5
48,Brazil,2019,5/19/2019,Ceara,Gremio,2,1,1,3.03,3.09,2.65,5,1,1.42656794425087,4
49,Brazil,2019,5/19/2019,Vasco,Avai,1,1,-1,1.71,3.71,5.48,2,1,2.21227421109902,1
50,Brazil,2019,5/25/2019,Botafogo RJ,Palmeiras,0,1,-1,8.64,4.39,1.43,4,3,1.07864261168385,1
51,Brazil,2019,5/25/2019,Gremio,Atletico-MG,1,0,1,1.63,3.95,5.85,5,4,2.35790816326531,1
52,Brazil,2019,5/26/2019,Flamengo RJ,Athletico-PR,3,2,1,1.43,4.52,8.23,5,2,2.91761568627451,3
53,Brazil,2019,5/26/2019,Santos,Internacional,0,0,-1,1.85,3.6,4.63,5,0,2.02527339003645,5
54,Brazil,2019,5/26/2019,Bahia,Fluminense,3,2,1,1.91,3.37,4.71,4,6,1.96444306930693,-2
55,Brazil,2019,5/26/2019,Corinthians,Sao Paulo,1,0,1,2.45,2.83,3.71,1,3,1.6053975535168201,-2
56,Brazil,2019,5/26/2019,Cruzeiro,Chapecoense-SC,1,2,-1,1.4,4.37,10.03,3,1,3.04382638888889,2
57,Brazil,2019,5/26/2019,Fortaleza,Vasco,1,1,-1,1.89,3.48,4.58,2,1,1.97746898263027,1
58,Brazil,2019,5/28/2019,Avai,Ceara,1,2,-1,2.64,2.89,3.27,1,1,1.5341396103896103,0
59,Brazil,2019,5/28/2019,CSA,Goias,1,0,1,2.84,2.9,3.0,1,2,1.47457627118644,-1
60,Brazil,2019,6/1/2019,Flamengo RJ,Fortaleza,2,0,1,1.42,4.66,8.05,8,3,2.9514555468135297,5
61,Brazil,2019,6/1/2019,Bahia,Gremio,1,0,1,2.48,2.98,3.41,7,2,1.59026604068858,5
62,Brazil,2019,6/2/2019,Botafogo RJ,Vasco,1,0,1,2.35,3.19,3.42,4,2,1.65049924357035,2
63,Brazil,2019,6/2/2019,Athletico-PR,Fluminense,3,0,1,1.66,3.88,5.67,5,8,2.30362303664921,-3
64,Brazil,2019,6/2/2019,Ceara,Santos,0,1,-1,2.84,3.21,2.73,7,2,1.4753030303030301,5
65,Brazil,2019,6/2/2019,Sao Paulo,Cruzeiro,1,1,-1,2.37,2.98,3.65,3,3,1.6405731523378602,0
66,Brazil,2019,6/2/2019,Atletico-MG,CSA,4,0,1,1.41,4.64,8.45,4,0,2.99526355996944,4
67,Brazil,2019,6/2/2019,Chapecoense-SC,Palmeiras,1,2,-1,6.2,3.54,1.68,4,4,1.13931034482759,0
68,Brazil,2019,6/2/2019,Internacional,Avai,2,0,1,1.44,4.3,8.84,7,2,2.8928462709284597,5
69,Brazil,2019,6/8/2019,Vasco,Internacional,2,1,1,3.12,3.14,2.53,3,0,1.4010934744268102,3
70,Brazil,2019,6/8/2019,Palmeiras,Athletico-PR,1,0,1,1.58,3.75,7.14,9,4,2.45867768595041,5
