,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
0,SP1,18/08/17,Leganes,Alaves,1,0,1,2.05,3.2,4.1,0,0,1.7972602739726,0,0
1,SP1,18/08/17,Valencia,Las Palmas,1,0,1,1.75,3.8,4.5,0,0,2.06024096385542,0,0
2,SP1,19/08/17,Celta,Sociedad,2,3,-1,2.38,3.25,3.2,0,0,1.61240310077519,0,0
3,SP1,19/08/17,Girona,Ath Madrid,2,2,-1,8,4.33,1.45,0,0,1.08624567474048,0,0
4,SP1,19/08/17,Sevilla,Espanol,1,1,-1,1.62,4,5.5,0,0,2.31578947368421,0,0
5,SP1,20/08/17,Ath Bilbao,Getafe,0,0,-1,1.5,4,7.5,0,0,2.60869565217391,0,0
6,SP1,20/08/17,Barcelona,Betis,2,0,1,1.17,8,15,0,0,5.21739130434783,0,0
7,SP1,20/08/17,La Coruna,Real Madrid,0,3,-1,9.5,5.75,1.3,0,0,1.06028368794326,0,0
8,SP1,21/08/17,Levante,Villarreal,1,0,1,3.25,3.25,2.3,0,0,1.34684684684685,0,0
9,SP1,21/08/17,Malaga,Eibar,0,1,-1,2.1,3.3,3.7,0,0,1.74428571428571,0,0
10,SP1,25/08/17,Betis,Celta,2,1,1,2.2,3.4,3.4,0,0,1.7,0,0
11,SP1,25/08/17,Sociedad,Villarreal,3,0,1,2.05,3.4,3.75,0,0,1.78321678321678,0,0
12,SP1,26/08/17,Alaves,Barcelona,0,2,-1,10,5.75,1.29,0,0,1.05362215909091,0,0
13,SP1,26/08/17,Girona,Malaga,1,0,1,2.15,3.25,3.6,2,0,1.70802919708029,2,1
14,SP1,26/08/17,Las Palmas,Ath Madrid,1,5,-1,4.75,3.75,1.75,0,2,1.19318181818182,-2,-1
15,SP1,26/08/17,Levante,La Coruna,2,2,-1,2.2,3.1,3.6,1,0,1.66567164179104,1,0.5
16,SP1,27/08/17,Eibar,Ath Bilbao,0,1,-1,2.5,3.1,3.1,0,0,1.55,0,0
17,SP1,27/08/17,Espanol,Leganes,0,1,-1,1.95,3.25,4.33,0,0,1.85653034300792,0,0
18,SP1,27/08/17,Getafe,Sevilla,0,1,-1,3.6,3.3,2.15,0,0,1.30183486238532,0,0
19,SP1,27/08/17,Real Madrid,Valencia,2,2,-1,1.17,8,15,0,0,5.21739130434783,0,0
20,SP1,08/09/17,Leganes,Getafe,1,2,-1,2.05,3.25,4,1,0,1.79310344827586,1,0.5
